id,eng_name,malay_name,family
221,Lithocarpus gracilis (Korth.) Soepadmo,"Diparak/ Tikalod (Dusun), Salid repak (Kelabit)",
222,Heritiera elata Ridl.,Dungun (Malay),
223,Heritiera littoralis Dryand.,Dungun laut?,
224,Durio affinis Becc.,Durian (Malay),
225,Durio purpureus Kosterm. & Soeg.,Durian (Malay),
226,Durio kinabaluensis Kosterm. & Soeg.,"Durian (Malay), Tupoloh (Dusun)",
227,Annona muricata L.,"Durian belanda (Malay), Lampun (Dusun), Dato alo (Kelabit)",
228,Durio oxleyanus Griff.,"Durian beludu (Malay), Sukang (Dusun), Rian isu (Iban)",
229,Durio lanceolatus Mast.,Durian burung (Malay),
230,Durio acutifolius (Mast.) Kosterm.,Durian daun runcing (Malay),
231,Durio grandiflorus (Mast.) Kosterm. & Soeg.,Durian hantu (Malay),
232,Durio zibethinus L.,"Durian kampung (Malay), Datu/Datu ubok (Kelabit), Rian amat (Iban)",
233,Durio griffithii Bakh.,"Durian kuning (Malay), Durian kuyu (Malay)",
234,Durio testudinarius Becc.,"Durian kura-kura (Malay), Durian putih (Malay)",
235,Durio kutejensis (Hassk.) Becc.,"Durian lai (Malay), Durian luas (Malay), Datu bendela (Kelabit)",
236,Durio graveolens Becc.,"Durian merah (Malay), Dalit (Dusun Parad), Datu siah (Kelabit)",
237,Neesia synandra Mast.,Durian monyet (Malay),
238,Durio dulcis Becc.,"Durian tahis (Malay), Datu kala (Kelabit)",
239,"Ochroma pyramidale (Cav. ex Lam.) Urb.
(syn = Ochroma lagopus Sw.)",Ekor tupai (Malay),
240,Ryparosa kostermansii Sleumer,Engi burong,
241,Shorea palembanica Miq.,"Engkabang asu (Iban, in Sarawak)",
242,Albizia rosulata subsp. landakensis (Kosterm.) I.C.Nielsen,Engkerutak (Iban),
243,Anisophyllea nitida L.Madani,Engkop-engkop (Kedayan Bundu),
244,Cleistanthus baramicus Jabl.,Enteburak (Iban),
245,Chrysophyllum cainito L.,"Epal Filipin (Malay), Caimito (commonly used)",
246,Delonix regia (Bojer) Raf.,"Flame tree (English), Semarak api (Malay)",
247,"Alangium uniloculare (Griff.) King
(syn = Alangium griffithii (Clarke) Harms)","Gadong hutan (Malay, Brunei)",
248,Hopea sangal Korth.,Gagil (Malay),
249,Hopea ovoidea P.S.Ashton,Gagil putih (Malay),
250,Aquilaria beccariana Tiegh.,Gaharu (Malay),
251,Aquilaria malaccensis Lam.,Gaharu (Malay),
252,Anacardium occidentale L.,Gajus (Malay),
253,Aporosa grandistipula Merr.,Galang-galang (Malay),
254,Trigonopleura malayana Hook. f.,"Gambir hutan (Malay), Kayu sedi (Iban)",
255,Blumeodendron kurzii (Hook.f.),Gangulang (Malay),
256,Blumeodendron tokbrai (Blume) Kurz,Gangulang (Malay),
257,Meliosma sumatrana (Jack) Walp.,"Gapas-gapas (Dusun), Pala ucu (Iban)",
258,Saraca declinata (Jack.) Miq.,"Gapis (Malay), Tambakis (Dusun), Babai (Iban)",
259,Cleistanthus paxii Jabl.,Garu-garu (Malay),
260,Pternandra caerulescens Jack,Gasing gasing / Sireh sireh (Malay),
261,Schima brevifolia Baill. ex Stapf,Gatal-gatal (Malay),
262,Schima wallichii (DC.) Korth.,"Gatal-gatal (Malay), Terang siah/mitam (Kelabit)",
